"ItemID","Subsystem","Stage","ItemClass","PreferredCandidate","AltCandidate","Manufacturer","MPN","Qty","Supplier","SupplierRegion","UnitCost","Currency","QuoteDate","LeadTime","Risk","Status","Notes","Mass_g","PeakPower_W","Envelope_mm","RequirementIDs","RiskIDs","ADRIDs","ProcedureIDs","ProcurementState","EvidenceRef"
"BOM-057","Science Pack","Flight-Like","Temperatura multipunto","TBD — sensores de temperatura I2C","TBD","TBD","TBD","TBD","Mouser/DigiKey","Internacional","TBD","USD","TBD","TBD","Medium","Open","Sensores candidatos; cantidad, ubicación, rango, exactitud y calibración TBD por trade SCI-REQ-01.","TBD","TBD","TBD","MIS-REQ-07;SCI-REQ-01","RSK-SCI-01;RSK-CONF-01","ADR-20260218-geiger-removed-from-mvp","PROC-SENSOR-001;PROC-DOC-001","Not authorized — sensor trade open","TBD"
"BOM-058","Science Pack","Bench","IMU (banco 433 MHz)","GY-521 MPU6050","TBD","InvenSense","MPU6050","1","Local AR","Argentina","TBD","ARS","TBD","TBD","Medium","Partial","Solo banco 433 MHz; no es Science Pack ni evidencia ADCS orbital. Configuración/montaje/calibración se registran por artículo.","TBD","TBD","TBD","MIS-REQ-13;SYS-REQ-02;SYS-REQ-04","RSK-CONF-01;RSK-ADCS-01","ADR-20260727-telemetry-bench-433-v4","PROC-DOC-001;PROC-ADCS-001","TBD","TBD"
"BOM-059","Ground Segment","EGSE","Antena Yagi UHF","Yagi o Cross-Yagi para banda UHF coordinada","TBD","TBD","TBD","1","TBD","TBD","TBD","USD","TBD","TBD","Medium","Open","Frecuencia patrón polarización y estructura TBD.","TBD","TBD","TBD","MIS-REQ-03;MIS-REQ-19;MIS-REQ-21","RSK-RF-01;RSK-GND-01","ADR-20260727-rf-regulatory-command-security-baseline","PROC-RF-001;PROC-GND-001","TBD","TBD"
"BOM-060","Ground Segment","EGSE","LNA UHF","TBD — LNA para banda coordinada","TBD","TBD","TBD","1","TBD","TBD","TBD","USD","TBD","TBD","Medium","Open","TBD","TBD","TBD","TBD","MIS-REQ-03;MIS-REQ-19;MIS-REQ-21","RSK-RF-01;RSK-GND-01","ADR-20260727-rf-regulatory-command-security-baseline","PROC-RF-001;PROC-GND-001","TBD","TBD"
"BOM-061","Ground Segment","EGSE","SDR RX SatNOGS / public beacon","RTL-SDR Blog V4 genuino","Nooelec NESDR SMArt v5 / RTL-SDR premium metal","TBD","TBD","1","MercadoLibre / proveedor oficial","Argentina / Internacional","TBD","ARS","2026-07-05","TBD","Medium","Open","RX-only dedicado para SatNOGS y beacon publico. Candidatos ML: https://www.mercadolibre.com.ar/nuevo-rtl-sdr-v4-hf-receptor-recibe-80m-40m-20m-10m-2m-rtl/up/MLAU120437591 | https://www.mercadolibre.com.ar/radio-sdr-premium-hf-vhf-uhf-100khz-1-75ghz-sma-metal/up/MLAU4009654843. Confirmar TCXO SMA bias-T y driver Linux/SatNOGS antes de comprar.","TBD","TBD","TBD","MIS-REQ-19;MIS-REQ-21","RSK-RF-01;RSK-GND-01","ADR-20260727-rf-regulatory-command-security-baseline","PROC-RF-001;PROC-GND-001","TBD","TBD"
"BOM-062","Ground Segment","EGSE","SDR transceiver / AUSTRALIS modem dev","PlutoSDR Zynq7010 AD9363 transceiver","HackRF-class transceiver only for lab tools","TBD","AD9363 / Zynq7010","1","MercadoLibre / proveedor oficial","Argentina / Internacional","TBD","ARS","2026-07-05","TBD","Medium","Open","Candidato para desarrollo de downlink controlado y uplink privado por stack AUSTRALIS. No usar como SDR SatNOGS principal ni exponer TX a SatNOGS. Requiere PA filtros medidor SWR T/R switch digital e interlocks. ML: https://www.mercadolibre.com.ar/pluto-sdr-zynq7010-ad9363-transceptor-de-radio-de-doble/up/MLAU4223612216.","TBD","TBD","TBD","MIS-REQ-03;MIS-REQ-11;MIS-REQ-20;MIS-REQ-21;SEC-REQ-01","RSK-RF-01;RSK-GND-01;RSK-SEC-01","ADR-20260727-rf-regulatory-command-security-baseline","PROC-RF-001;PROC-GND-001;PROC-SEC-001","TBD","TBD"
"BOM-063","Ground Segment","EGSE","Torre / mastil soporte antena","Torre triangular liviana o mastil estructural 4-5 m","Columna de hierro galvanizada en caliente","TBD","TBD","1","Proveedor local / MercadoLibre","Argentina","TBD","ARS","2026-07-05","TBD","Medium","Open","Soporte para rotor AZ/EL y UHF cross-Yagi. ML column candidate: https://www.mercadolibre.com.ar/columnas-de-hierro-galvanizadas-en-caliente/up/MLAU262760109. No adoptar hasta confirmar altura diametro espesor peso placa de anclaje galvanizado carga lateral viento y compatibilidad con riendas/anclajes de terraza.","TBD","TBD","TBD","MIS-REQ-21","RSK-GND-02;RSK-MECH-01","ADR-20260727-rf-regulatory-command-security-baseline","PROC-GND-001;PROC-MECH-001","TBD","TBD"
"BOM-064","Ground Segment","EGSE","Linea coaxial UHF principal","LMR-400 class 50 ohm outdoor coax 10 m","Ecoflex 10 / Hyperflex 10 / LMR-600 si >25 m","TBD","LMR-400 class","1","Proveedor local / MercadoLibre","Argentina","TBD","ARS","2026-07-05","TBD","Medium","Open","Candidato para corrida corta de estacion terrena. ML: https://www.mercadolibre.com.ar/cable-coaxil-lmr-400-x-10-metros-rf-radioaficionados-vhfuhf/up/MLAU3956799499. Confirmar 50 ohm conectores N-type o adaptadores de baja perdida cubierta UV radio de curvatura y longitud real. Pérdida deberá calcularse y medirse en la frecuencia coordinada.","TBD","TBD","TBD","MIS-REQ-03;MIS-REQ-21","RSK-RF-01;RSK-GND-01","ADR-20260727-rf-regulatory-command-security-baseline","PROC-RF-001;PROC-GND-001","TBD","TBD"
"BOM-065","Ground Segment","EGSE","Estacion meteorologica local","TBD — candidate only after Accepted ADR and hazard analysis","TBD","TBD","TBD","1","Proveedor local / MercadoLibre / Mouser","Argentina / Internacional","TBD","ARS","2026-07-10","TBD","Medium","Proposed","Candidato EGSE no adoptado. Sensores, umbrales, park/inhibit, calidad y calibración quedan abiertos hasta ADR Accepted; no autoriza compra.","TBD","TBD","TBD","MIS-REQ-22","RSK-GND-02;RSK-PROG-01","ADR-20260727-rf-regulatory-command-security-baseline","PROC-GND-001","Not authorized — requirement proposed","TBD"
"BOM-066","Ground Segment","EGSE","PC estación terrena","PC con .NET 8 para dashboard","TBD","TBD","TBD","1","TBD","TBD","TBD","USD","TBD","TBD","Medium","Partial","Dashboard .NET 8 + Blazor implementado. PC existente.","TBD","TBD","TBD","MIS-REQ-21;DATA-REQ-01","RSK-GND-01;RSK-DATA-01","ADR-20260727-rf-regulatory-command-security-baseline","PROC-GND-001;PROC-DATA-001","TBD","TBD"
"BOM-067","Ground Segment","Bench","Nodo LoRa de prueba (clase típica)","Módulo tipo Heltec ESP32+SX1262 / RFM95W","TBD","Heltec / HopeRF / TBD","TBD","2","Local AR / MercadoLibre","Argentina","TBD","ARS","TBD","TBD","Medium","Open","Nodo de clase típica para pruebas de uplink P1. MPN exacto TBD.","TBD","TBD","TBD","MIS-REQ-04;MIS-REQ-14;COMMS-UL-07","RSK-COMMS-01;RSK-SEC-03;RSK-REG-01","ADR-20260727-rf-regulatory-command-security-baseline","PROC-RF-002;PROC-SEC-001;PROC-REG-001","TBD","TBD"
"BOM-068","Test/Tools","EGSE","Fuente de laboratorio","Fuente DC programable 0-30V / 3A","TBD","TBD","TBD","1","Local AR","Argentina","TBD","ARS","TBD","TBD","Medium","Partial","Para banco EPS. Existente o a adquirir.","TBD","TBD","TBD","ENV-REQ-01","RSK-ENV-01","ADR-20260727-verification-and-review-governance","PROC-ENV-001","TBD","TBD"
"BOM-069","Test/Tools","EGSE","Multímetro","Multímetro digital con medición de corriente","TBD","TBD","TBD","1","Local AR","Argentina","TBD","ARS","TBD","TBD","Medium","Partial","Para pruebas T1-T10 EPS.","TBD","TBD","TBD","ENV-REQ-01","RSK-ENV-01","ADR-20260727-verification-and-review-governance","PROC-ENV-001","TBD","TBD"
"BOM-070","Test/Tools","EGSE","Analizador de espectro","Analizador de espectro UHF / 915 MHz","TBD","TBD","TBD","1","TBD","TBD","TBD","USD","TBD","TBD","Medium","Open","Para verificación de emisiones espurias TX UHF. TBD adquirir o acceder a uno.","TBD","TBD","TBD","ENV-REQ-01","RSK-ENV-01","ADR-20260727-verification-and-review-governance","PROC-ENV-001","TBD","TBD"
"BOM-071","Test/Tools","EGSE","Osciloscopio","Osciloscopio digital (mínimo 100 MHz)","TBD","TBD","TBD","1","Local AR","Argentina","TBD","ARS","TBD","TBD","Medium","Open","TBD","TBD","TBD","TBD","ENV-REQ-01","RSK-ENV-01","ADR-20260727-verification-and-review-governance","PROC-ENV-001","TBD","TBD"
"BOM-072","Structure/Thermal","Flight-Like","Radiator coating","TBD — thermal control surface","TBD","TBD","TBD","1","TBD","TBD","TBD","USD","TBD","TBD","High","Open","Cara propiedades ópticas degradación outgassing y coating siguen TBD.","TBD","TBD","TBD","MIS-REQ-01;THR-REQ-01","RSK-MECH-01;RSK-THR-01","ADR-20260727-cubesat-1p5u-cds-envelope;ADR-20260727-thermal-power-baselines-reopened","PROC-MECH-001;PROC-THR-001","TBD","TBD"
"BOM-073","Structure/Thermal","Flight-Like","Thermal pad CM5","TBD — interface stack after calorimetry","TBD","TBD","TBD","1","TBD","TBD","TBD","USD","TBD","TBD","High","Open","Conductancia contactos spreading geometría y material TBD.","TBD","TBD","TBD","MIS-REQ-01;THR-REQ-01","RSK-MECH-01;RSK-THR-01","ADR-20260727-cubesat-1p5u-cds-envelope;ADR-20260727-thermal-power-baselines-reopened","PROC-MECH-001;PROC-THR-001","TBD","TBD"
"BOM-074","EPS","Flight-Like","Solar cell IBC","TBD — solar cell and topology","TBD","TBD","TBD","TBD","TBD","TBD","TBD","USD","TBD","TBD","High","Open","Layout, cantidad, stringing, MPPT, curvas hot/cold, BOL/EOL, degradación y familia siguen TBD.","TBD","TBD","TBD","PWR-REQ-01;EPS-REQ-02;SYS-REQ-04","RSK-PWR-01;RSK-EPS-01;RSK-CONF-01","ADR-20260727-thermal-power-baselines-reopened","PROC-PWR-001;PROC-EPS-001","TBD","TBD"
"BOM-075","Ground Segment","EGSE","Rotor AZ/EL","TBD — rotor sized from antenna/wind loads","TBD","TBD","TBD","TBD","TBD","TBD","TBD","USD","TBD","TBD","High","Open","Torque, backlash, pointing, park, limit switches and wind survival TBD.","TBD","TBD","TBD","MIS-REQ-21","RSK-GND-02;RSK-RF-01","ADR-20260727-rf-regulatory-command-security-baseline","PROC-GND-001;PROC-RF-001","TBD","TBD"
"BOM-076","Ground Segment","EGSE","T/R switch and hardware PTT gate","TBD — fail-safe RF switching chain","TBD","TBD","TBD","TBD","TBD","TBD","TBD","USD","TBD","TBD","High","Open","RX default, de-energized TX inhibit, isolation and failure states must be verified.","TBD","TBD","TBD","MIS-REQ-03;MIS-REQ-11;MIS-REQ-21;SEC-REQ-01","RSK-GND-01;RSK-RF-01;RSK-SEC-01","ADR-20260727-rf-regulatory-command-security-baseline","PROC-GND-001;PROC-RF-001;PROC-SEC-001","TBD","TBD"
"BOM-077","Ground Segment","EGSE","Ground UHF power amplifier","TBD — only after coordinated EIRP","TBD","TBD","TBD","TBD","TBD","TBD","TBD","USD","TBD","TBD","High","Open","Power, linearity, harmonics, cooling and authorization remain TBD; no purchase before bandplan.","TBD","TBD","TBD","MIS-REQ-03;MIS-REQ-11","RSK-RF-01;RSK-REG-02","ADR-20260727-rf-regulatory-command-security-baseline","PROC-RF-001;PROC-REG-001","TBD","TBD"
"BOM-078","Ground Segment","EGSE","Ground RF filters and receiver limiter","TBD — bandpass/notch/limiter chain","TBD","TBD","TBD","TBD","TBD","TBD","TBD","USD","TBD","TBD","High","Open","Select from coordinated waveform, PA emissions, LNA limits and coexistence tests.","TBD","TBD","TBD","MIS-REQ-03;MIS-REQ-19;MIS-REQ-21","RSK-RF-01;RSK-RF-02;RSK-GND-01","ADR-20260727-rf-regulatory-command-security-baseline","PROC-RF-001;PROC-GND-001","TBD","TBD"
"BOM-079","Ground Segment","EGSE","RF power and SWR meter","TBD — calibrated directional power measurement","TBD","TBD","TBD","TBD","TBD","TBD","TBD","USD","TBD","TBD","Medium","Open","Calibration range, uncertainty and traceability TBD.","TBD","TBD","TBD","MIS-REQ-03;SYS-REQ-02","RSK-RF-01;RSK-CONF-01","ADR-20260727-rf-regulatory-command-security-baseline","PROC-RF-001;PROC-DOC-001","TBD","TBD"
"BOM-080","Ground Segment","EGSE","RF dummy load and attenuator set","TBD — rated 50 ohm test termination/attenuation","TBD","TBD","TBD","TBD","TBD","TBD","TBD","USD","TBD","TBD","Medium","Open","Power, VSWR, frequency range and calibration TBD; required for safe conducted tests.","TBD","TBD","TBD","MIS-REQ-03;ENV-REQ-01","RSK-RF-01;RSK-ENV-01","ADR-20260727-rf-regulatory-command-security-baseline","PROC-RF-001;PROC-ENV-001","TBD","TBD"
"BOM-081","Ground Segment","EGSE","Lightning protection and bonding","TBD — site-specific arrestor/earthing/bonding","TBD","TBD","TBD","TBD","TBD","TBD","TBD","USD","TBD","TBD","High","Open","Requires site electrical and structural hazard analysis before installation.","TBD","TBD","TBD","MIS-REQ-21;ENV-REQ-01","RSK-GND-02;RSK-ENV-01","ADR-20260727-rf-regulatory-command-security-baseline","PROC-GND-001;PROC-ENV-001","TBD","TBD"
"BOM-082","Ground Segment","EGSE","Ground UPS and controlled PDU","TBD — sized from measured loads and safe shutdown","TBD","TBD","TBD","TBD","TBD","TBD","TBD","USD","TBD","TBD","Medium","Open","Runtime, surge, transfer behavior, remote recovery and logs TBD.","TBD","TBD","TBD","MIS-REQ-21;DATA-REQ-01","RSK-GND-01;RSK-DATA-01","ADR-20260727-rf-regulatory-command-security-baseline","PROC-GND-001;PROC-DATA-001","TBD","TBD"
"BOM-083","Ground Segment","EGSE","Ground GNSS-disciplined timebase","TBD — GNSS/PPS disciplined clock","TBD","TBD","TBD","TBD","TBD","TBD","TBD","USD","TBD","TBD","High","Open","Accuracy, holdover, antenna, authenticity and timestamp chain TBD.","TBD","TBD","TBD","MIS-REQ-21;COMMS-UL-02","RSK-COMMS-02;RSK-COMMS-03","ADR-20260727-rf-regulatory-command-security-baseline","PROC-GND-001;PROC-RF-002","TBD","TBD"
